Tên phim,ID phim,Đạo diễn,Diễn viên chính,Thể loại phim,Thời lượng (phút),Độ phổ biến,Năm phát hành,Link Poster,Link Backdrop,Điểm đánh giá,Mô tả
Cướp Biển Vùng Caribbean: Chiếc Rương Tử Thần,58,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy","Phim Phiêu Lưu, Phim Giả Tượng, Phim Hành Động",151,18.6644,2006,https://image.tmdb.org/t/p/w500/6Ax7A0ngybY5LhG0M5gSfyjZV0I.jpg,https://image.tmdb.org/t/p/original/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg,7.372,"Cuối cùng sau nhiều nỗ lực Jack Sparrow đã chiếm lại đuợc con tàu huyền thoại Ngọc Trai Đen. Tuy nhiên, để giành được Ngọc Trai Đen, Jack đã gây thù kết oán với Davy Jones (thuyền trưởng con tàu ma Flying Dutchman). Để chiến thắng Davy chỉ còn cách tìm được chiếc rương tử thần và Jack – Will – Elizabeth lại dấn thân vào cuộc phiêu lưu mới… Hình ảnh kì dị nhưng khá vui nhộn đã trở thành thương hiệu cho các phim do Walt Disney sản xuất. So với phần I phần II được lồng ghép thêm nhiều tình huống hài hước hơn. Các đại cảnh lớn được thiết kế công phu hoành tráng mang tới dấu ấn riêng."
Phim Super Mario Thiên Hà,1226863,Aaron Horvath,"Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Keegan-Michael Key","Phim Gia Đình, Phim Giả Tượng, Phim Hài, Phim Phiêu Lưu, Phim Hoạt Hình",0,14.1847,2026,https://image.tmdb.org/t/p/w500/v3pKCzSpf0E7Wrx1c5kfetwGgC6.jpg,https://image.tmdb.org/t/p/original/cQ2BhusmYE5FOZZ66fjq9Jy3w9U.jpg,0.0,
Ma Trận,603,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster","Phim Hành Động, Phim Khoa Học Viễn Tưởng",136,18.8441,1999,https://image.tmdb.org/t/p/w500/fE7S6EwaBgRQeqKoDVFoImMmAF4.jpg,https://image.tmdb.org/t/p/original/tlm8UkiQsitc8rSuIAscQDCnP8d.jpg,8.235,"The Matrix (MaTrận) là bộ phim khoa học giả tưởng về tương lai. Trong tương lai đó, Thomas, biệt danh Neo, là một hacker luôn có cảm giác khác thường về thế giới thực. Cho tới khi người đàn ông tự xưng là Morpheus tìm đến anh. Người đàn ông này nói cho anh biết, thế giới mà mọi người coi là thực chỉ là một chương trình giả lập để máy móc cai trị con người. Chỉ có một người có thể phá được Ma trận. Những người thật sống sót còn lại cuối cùng và những nhân viên Ma trận đều cùng đi tìm người đó. Và người đó chính là anh – Neo…"
Nguyên Thủ Đối Đầu,749170,Илья Найшуллер,"John Cena, Idris Elba, Priyanka Chopra Jonas, Paddy Considine, Carla Gugino","Phim Hành Động, Phim Gây Cấn, Phim Hài",117,20.8004,2025,https://image.tmdb.org/t/p/w500/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg,https://image.tmdb.org/t/p/original/vJbEUMeI2AxBUZKjP6ZVeVNNTLh.jpg,6.87,"Hai nhà lãnh đạo – Tổng thống Mỹ (John Cena) và Thủ tướng Anh (Idris Elba) – bị rơi vào âm mưu khủng bố khi tham dự hội nghị NATO. Bị lạc ở Belarus, họ buộc phải bắt tay để sinh tồn, dù tính cách trái ngược. Cùng với đặc vụ MI6 (Priyanka Chopra), họ đối đầu kẻ thù quốc tế, qua chuỗi hành động–hài hước kịch tính xuyên châu Âu."
Chuyện Tào Lao,680,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames","Phim Gây Cấn, Phim Hình Sự, Phim Hài",154,17.9371,1994,https://image.tmdb.org/t/p/w500/ihynkOAH6FLNgG1kqM5ep9GSHZS.jpg,https://image.tmdb.org/t/p/original/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,8.488,"Những câu chuyện tưởng chừng tầm phào về 2 gã găng tơ trên đường thực hiện mệnh lệnh của ông chủ với 1 võ sĩ quyền anh giết chết người phải chạy trốn có vẻ không liên quan nhưng khi ghép lại người xem sẽ có 1 bức tranh tổng thể, đặc trưng cho phong cách của đạo diễn Quentin Tarantino: đậm chất bạo lực, máu me."
Captain America: Thế Giới Mới,822119,Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez, שירה האס, Tim Blake Nelson","Phim Hành Động, Phim Gây Cấn, Phim Khoa Học Viễn Tưởng",119,17.2313,2025,https://image.tmdb.org/t/p/w500/fWTZk4Y7HTyTTGNJnXNaX3XTE0v.jpg,https://image.tmdb.org/t/p/original/jhL4eTpccoZSVehhcR8DKLSBHZy.jpg,6.0,"Sau khi gặp Tổng thống Hoa Kỳ mới đắc cử Thaddeus Ross, Sam Wilson thấy mình bị cuốn vào một sự cố . Anh phải khám phá lý do đằng sau một âm mưu cực kì xấu xa trước khi kẻ chủ mưu thật sự khiến cả thế giới phải hoảng sợ"
Hoa Hồng Có Gai,1267905,Jay Roach,"Olivia Colman, Benedict Cumberbatch, Andy Samberg, Allison Janney, Belinda Bromilow","Phim Hài, Phim Chính Kịch, Phim Lãng Mạn",105,19.8409,2025,https://image.tmdb.org/t/p/w500/eGUlt6VzhSOk5tJ3lpSkDtLRsnJ.jpg,https://image.tmdb.org/t/p/original/h4HSZjOeAoHQ3qPuy6x9Cyr69bS.jpg,6.8,"Cuộc sống của Ivy và Theo tưởng chừng hoàn hảo: sự nghiệp thành công, hôn nhân hạnh phúc, con cái ngoan ngoãn. Nhưng đằng sau lớp vỏ của một gia đình lý tưởng ấy là cơn bão ngầm đang dần hình thành — khi sự nghiệp của Theo tuột dốc trong khi tham vọng của Ivy thăng hoa, thổi bùng lên ngọn lửa ganh đua và oán giận âm ỉ có thể"
Bhairavam,1388451,Vijay Kanakamedala,"Bellamkonda Srinivas, Manchu Manoj, Nara Rohith, Aditi Shankar, Anandhi","Phim Hành Động, Phim Hình Sự, Phim Gây Cấn",155,16.815,2025,https://image.tmdb.org/t/p/w500/pWImUye0RNPqtNl1G1RK6nFtYIt.jpg,https://image.tmdb.org/t/p/original/dpQu2WocTv0NMDdPLNwQiZJaOBX.jpg,3.0,
Mặt Nạ Xanh,854,Chuck Russell,"Jim Carrey, Peter Riegert, Peter Greene, Amy Yasbeck, Richard Jeni","Phim Lãng Mạn, Phim Hài, Phim Hình Sự, Phim Giả Tượng",101,15.1941,1994,https://image.tmdb.org/t/p/w500/jPC2eYub74zwf2tPGVtzSlBW6Oy.jpg,https://image.tmdb.org/t/p/original/80uHK2xWwjlOxmfJ1wQB09omAht.jpg,6.974,"Câu chuyện vui nhộn về anh chàng nhân viên ngân hàng Stanley Ipkiss nhút nhát, vụng về. Kể từ khi tình cờ tìm thấy chiếc mặt nạ của Chúa tể bóng đêm Loki, cuộc đời Ipkiss thay đổi hoàn toàn. Anh chàng có những khả năng siêu tưởng điên rồ như biến đổi cơ thể, bay nhảy lung tung, dọa nạt mọi người và nhiều câu chuyện hài hước khác…"
The Mission,1117644,Jesse Moss,"Pam Arlund, Dan Davis, Levi Davis, Daniel Everett, Lawrence Kao",Phim Tài Liệu,103,16.1699,2023,https://image.tmdb.org/t/p/w500/uGmeAMvTlgvziM2CVDhl9Dumwe5.jpg,https://image.tmdb.org/t/p/original/wcjlAaNE9pFK4Av5WBbDBmJ9Wc5.jpg,6.762,
Vợ chồng lão Twit,927254,Phil Johnston,"Margo Martindale, Johnny Vegas, Maitreyi Ramakrishnan, Ryan Anderson Lopez, Emilia Clarke","Phim Hoạt Hình, Phim Hài, Phim Gia Đình, Phim Giả Tượng",99,17.0404,2025,https://image.tmdb.org/t/p/w500/yc58ddSkwnn3Qe8jFFmv4qcgQOX.jpg,https://image.tmdb.org/t/p/original/i4o2aPGlnsxfPmDPF5lmlgjScyv.jpg,6.1,"Khi những kẻ xấu xa, độc ác nhất giở trò để chiếm lấy thị trấn, hai đứa trẻ dũng cảm bắt tay với một gia đình động vật biết phép thuật để lật đổ bọn họ."
L'ennui,55107,Cédric Kahn,"Charles Berling, Sophie Guillemin, Arielle Dombasle, Robert Kramer, Alice Grey","Phim Chính Kịch, Phim Lãng Mạn",122,14.8268,1998,https://image.tmdb.org/t/p/w500/9gUiZNEH3ZY2A2t0CGnCHTNKD6P.jpg,https://image.tmdb.org/t/p/original/qD3iptcv51gqYQiW4qPdwhyXN8A.jpg,5.2,
Lefter: Câu chuyện của Ordinarius,1386792,Can Ulkay,"Erdem Kaynarca, Aslıhan Malbora, Deniz Işın, Aslıhan Gürbüz, Halit Ergenç","Phim Chính Kịch, Phim Lịch Sử",0,14.4631,2025,https://image.tmdb.org/t/p/w500/pvy0dINISg6SIlRpzALX0p284lm.jpg,https://image.tmdb.org/t/p/original/8ECv9LSLwRnisxoTAmCZBBl8E6k.jpg,6.8,"Một thần đồng bóng đá vươn lên thành danh, chiến đấu với định kiến và những giằng xé nội tâm để chạm tới sự vĩ đại. Phim dựa trên cuộc đời của Lefter, huyền thoại của Thổ Nhĩ Kỳ."
Deadly Pickup,408567,Dean McKendrick,"Carter Cruise, Kira Noir, Billy Snow, William F. Bryant, Sarah Hunter",Phim Gây Cấn,81,17.8856,2016,https://image.tmdb.org/t/p/w500/kq0B2DAXRhauo3MACv8MKlliakW.jpg,https://image.tmdb.org/t/p/original/kGZDYsaRGu01nBOXgO1moa3mLL4.jpg,5.196,
Tình Yêu Có Bảo Đảm,644090,Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Brendan Taylor","Phim Lãng Mạn, Phim Hài",90,12.2104,2020,https://image.tmdb.org/t/p/w500/6K22JB6fZZLBuM0knfl8rs9Zoxg.jpg,https://image.tmdb.org/t/p/original/i6X9J6AgGhR3FNTtEc5GRs9e3ya.jpg,6.386,
Phi Công Siêu Đẳng: Maverick,361743,Joseph Kosinski,"Tom Cruise, Val Kilmer, Miles Teller, Jennifer Connelly, Bashir Salahuddin","Phim Hành Động, Phim Chính Kịch",131,17.3189,2022,https://image.tmdb.org/t/p/w500/yuY9mNG8EgYBwDZKH4RFJHRoAUp.jpg,https://image.tmdb.org/t/p/original/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,8.165,"Sau hơn 30 năm phụng sự với tư cách phi công hàng đầu của hải quân, Pete “Maverick” Mitchell giờ đang làm việc mình yêu thích: bứt phá giới hạn trong vai trò một phi công thử nghiệm dũng cảm. Tuy nhiên, Maverick phải đối đầu với bóng ma quá khứ khi anh trở lại TOPGUN để đào tạo một nhóm học viên ưu tú và đối mặt với Trung úy Bradshaw, con trai của phi công yểm trợ cũ ""Goose"". Sự cạnh tranh gay gắt bùng nổ khi các phi công chuẩn bị cho một nhiệm vụ chuyên biệt đòi hỏi sự hy sinh tột bậc từ những người được chọn bay."
Time Addicts,1020094,Sam Odlum,"Freya Tingley, Charles Grounds, Joshua Morton, Elise Jansen","Phim Khoa Học Viễn Tưởng, Phim Hình Sự, Phim Gây Cấn",93,16.6341,2023,https://image.tmdb.org/t/p/w500/pTRfeB6TOupCpQ7lfTCYVE3Dzi.jpg,https://image.tmdb.org/t/p/original/5yw8tJFN34Rj7RETOqMZUjZa8RO.jpg,5.9,
Light of the World,1374686,Tom Bancroft,"Ian Hanlin, Benjamin Jacobson, Vincent Tong, Michael Benyaer, David Kaye","Phim Hoạt Hình, Phim Giả Tượng, Phim Chính Kịch, Phim Nhạc",84,16.4058,2025,https://image.tmdb.org/t/p/w500/3vUqo90FCIHXPiXnQJEeqzg5EDV.jpg,https://image.tmdb.org/t/p/original/xeIkV4e4joAmlRJhqJu2N8jR6zC.jpg,9.0,
Akin Ang Gabi,1580234,Joel Ferrer,"Queenie De Mesa, Trish Gaden, VR Relosa, Allen Legazpi, Claudia Enriquez",Phim Chính Kịch,70,21.4536,2025,https://image.tmdb.org/t/p/w500/oFqXF5GwmdFfLlv6bU98kT5hEes.jpg,https://image.tmdb.org/t/p/original/sihMx6NkKSptBWgFfQhNzYwHP79.jpg,0.0,
Icefall,1242501,Stefan Ruzowitzky,"Joel Kinnaman, Cara Jade Myers, Danny Huston, Graham Greene, Martin Sensmeier","Phim Hành Động, Phim Hình Sự, Phim Gây Cấn",99,17.609,2025,https://image.tmdb.org/t/p/w500/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,https://image.tmdb.org/t/p/original/gQimJqYMKCkwHIo8wwYKhmnCfBr.jpg,6.9,
Harry Potter và Mệnh Lệnh Phượng Hoàng,675,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Imelda Staunton, Helena Bonham Carter","Phim Phiêu Lưu, Phim Giả Tượng",138,19.6422,2007,https://image.tmdb.org/t/p/w500/51WvjaatMgGZehizhtEGYD7p9kb.jpg,https://image.tmdb.org/t/p/original/jLbpgkxA5PSgzmcszT8yCOyPkgf.jpg,7.674,"Harry tức giận vì bị bỏ rơi ở nhà Dursley trong dịp hè, cậu ngờ rằng Chúa tể hắc ám Voldemort đang tập hợp lực lượng, và vì cậu có nguy cơ bị tấn công, những người Harry luôn coi là bạn đang cố che giấu tung tích cậu. Cuối cùng, sau khi được giải cứu, Harry khám phá ra rằng giáo sư Dumbledore đang tập hợp lại Hội Phượng Hoàng – một đoàn quân bí mật đã được thành lập từ những năm trước nhằm chống lại Chúa tể Voldemort.  Tuy nhiên, Bộ Pháp thuật không ủng hộ Hội Phượng Hoàng, những lời bịa đặt nhanh chóng được đăng tải trên Nhật báo Tiên tri – một tờ báo của giới phù thủy, Harry lo ngại rằng rất có khả năng cậu sẽ phải gánh vác trách nhiệm chống lại cái ác một mình."
Deadly Revenge,264760,Michael Feifer,"Alicia Ziegler, Mark Hapka, Donna Mills, Constance Wu, Patrick Muldoon","Phim Gây Cấn, Chương Trình Truyền Hình",92,18.1987,2013,https://image.tmdb.org/t/p/w500/x8AXM8BsfCW9rUwhMJkOXNbdON8.jpg,,3.857,
Venom: Kèo Cuối,912649,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple, Rhys Ifans, Stephen Graham","Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu",109,18.4777,2024,https://image.tmdb.org/t/p/w500/64hJDbJlLFJSRg4sG3njMCijIyF.jpg,https://image.tmdb.org/t/p/original/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,6.682,"Đây là phần phim cuối cùng và hoành tráng nhất về cặp đôi Venom và Eddie Brock (Tom Hardy). Sau khi dịch chuyển từ Vũ trụ Marvel trong ‘Spider-man: No way home’ (2021) trở về thực tại, Eddie Brock giờ đây cùng Venom sẽ phải đối mặt với ác thần Knull hùng mạnh - kẻ tạo ra cả chủng tộc Symbiote và những thế lực đang rình rập khác. Cặp đôi Eddie và Venom sẽ phải đưa ra lựa quyết định khốc liệt để hạ màn kèo cuối này."
Nữ Quái Xế,1151334,Shawn Simmons,"Samara Weaving, Karl Glusman, Andy Garcia, Steve Zahn, Jermaine Fowler","Phim Gây Cấn, Phim Hành Động, Phim Hài",106,17.9942,2025,https://image.tmdb.org/t/p/w500/12Va3oO3oYUdOd75zM57Nx1976a.jpg,https://image.tmdb.org/t/p/original/8jeDyvFQKgss36FbGAmGQVzPXlH.jpg,6.362,"Ngày xưa, cô từng là tay lái bỏ trốn tuổi teen lẫy lừng. Giờ đây, khi tưởng đã chôn vùi quá khứ tội lỗi, cô lại bị kéo trở lại thế giới ngầm. Một ông chủ cũ xuất hiện, đưa ra lời đề nghị: cứu lấy mạng sống của gã bạn trai cũ — kẻ vừa quen thuộc, vừa nguy hiểm, nhưng chưa bao giờ biết giữ chữ tín. Trước ngã rẽ sinh tử, cô buộc phải tăng tốc lần nữa, không chỉ để thoát hiểm, mà còn để quyết định liệu tình yêu cũ có xứng đáng với một cú lái định mệnh."
Sisu: Già Gân Báo Thù,840326,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo, Onni Tommila","Phim Hành Động, Phim Chiến Tranh",91,19.9326,2022,https://image.tmdb.org/t/p/w500/bUnhv3lAxVbXnPJ0N9fLVQ3m0zl.jpg,https://image.tmdb.org/t/p/original/pBdQ4iorzRV2G38mdS6rzrmUfMA.jpg,7.396,"Khi một cựu quân nhân phát hiện ra vàng ở vùng hoang dã Lapland cố gắng mang chiến lợi phẩm vào thành phố, những người lính Đức Quốc xã do một sĩ quan SS tàn bạo chỉ huy đã chiến đấu với anh ta."
Sisu: Già Gân Báo Thù,840326,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo, Onni Tommila","Phim Hành Động, Phim Chiến Tranh",91,19.9326,2022,https://image.tmdb.org/t/p/w500/bUnhv3lAxVbXnPJ0N9fLVQ3m0zl.jpg,https://image.tmdb.org/t/p/original/pBdQ4iorzRV2G38mdS6rzrmUfMA.jpg,7.396,"Khi một cựu quân nhân phát hiện ra vàng ở vùng hoang dã Lapland cố gắng mang chiến lợi phẩm vào thành phố, những người lính Đức Quốc xã do một sĩ quan SS tàn bạo chỉ huy đã chiến đấu với anh ta."
Sàn Đấu Sinh Tử,550,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto","Phim Chính Kịch, Phim Gây Cấn",139,17.5412,1999,https://image.tmdb.org/t/p/w500/wBxkCbNI8eDRRfUEl8w0G2rfLyu.jpg,https://image.tmdb.org/t/p/original/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,8.438,"Cuộc gặp gỡ định mệnh của một nhân viên giám định bảo hiểm và một gã lông bông bán xà phòng trên chuyến bay đã mở ra một cuộc phiêu lưu kỳ lạ. Với các ""câu lạc bộ chiến đấu"" ngầm hình thành ở mọi thị trấn, cuốn theo nhiều diễn biến phức tạp và một cái kết đầy kịch tính."
रामायण,656908,Nitesh Tiwari,"Ranbir Kapoor, Sai Pallavi, Ravi Dubey, Yash, Sunny Deol","Phim Hành Động, Phim Chính Kịch, Phim Giả Tượng",0,16.0441,2026,https://image.tmdb.org/t/p/w500/lS17squIY8OpyFJz3cOCFzYxNUA.jpg,https://image.tmdb.org/t/p/original/in5hdAhBrI4lMnVlK0Bx45rJu5g.jpg,0.0,
Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,121,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis","Phim Phiêu Lưu, Phim Giả Tượng, Phim Hành Động",179,17.6625,2002,https://image.tmdb.org/t/p/w500/jmwZrMZE6bEuG6JWeu8Udb8B69d.jpg,https://image.tmdb.org/t/p/original/kWYfW2Re0rUDE6IHhy4CRuKWeFr.jpg,8.411,"Cuộc hành trình đi hủy diệt chiếc nhẫn tiếp tục với bao nguy hiểm chờ đợi Frodo ở phía trước. Lần này, anh và Sam có một bạn đồng hành mới là Gollum. Trong khi đó, Gandalf may mắn thoát chết, hơn nữa sức mạnh của ông còn vượt xa hơn rất nhiều. Ông cùng Aragon, Legolas và Gimli cùng những thần rừng tìm cách phá hủy âm mưu của Saruman. Tiếp nối thành công của phần 1 The Lord Of The Ring 2 kế thừa và đan xen giữa hai hệ thống nhân vật cũ và mới làm cho nội dung phim càng thêm lôi cuốn người xem. The Lord Of The Ring 2 cũng mang về 2 Giải Oscar cho hạng mục âm thanh và kĩ xảo."
Los bárbaros,1478178,Javier Barbero Montes,"Àlex Monner, Job Mansilla, Eliza Rycembel, Greta Fernández",Phim Chính Kịch,102,14.4177,2025,https://image.tmdb.org/t/p/w500/xm6rilitqrlvnPThzJpLBSCreVg.jpg,https://image.tmdb.org/t/p/original/qlgjhx4lubpHpXZbAXinphCVJnk.jpg,7.333,
Người Hùng Thành Troy,652,Wolfgang Petersen,"Brad Pitt, Orlando Bloom, Eric Bana, Brian Cox, Sean Bean","Phim Chiến Tranh, Phim Hành Động, Phim Lịch Sử",163,16.5618,2004,https://image.tmdb.org/t/p/w500/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,https://image.tmdb.org/t/p/original/d3z8MH9OvTOOSxy5QwAG0cS6GKU.jpg,7.2,"Trong suốt các thời đại, đàn ông đã gây chiến. Một số cho quyền lực, một số cho vinh quang hoặc danh dự, và một số cho tình yêu. Ở Hy Lạp cổ đại, niềm đam mê của hai người tình huyền thoại nhất trong lịch sử là Paris, Hoàng tử thành Troia (Orlando Bloom) và Helen (Diane Kruger), Nữ hoàng Sparta, đã mở ra một cuộc chiến tranh tàn phá nền văn minh. Vụ bắt cóc Helen bởi Paris, tách cô khỏi chồng mình, Vua Menelaus (Bren-dan Gleeson), là một sự xúc phạm mà Family Pride cho rằng đối mặt với Menelaus là một mối quan hệ với anh trai của cô là Agamemnon (Brian Cox), vị vua quyền lực của cô Mycenae, người sớm tái hợp tất cả các bộ lạc lớn của Hy Lạp để phục hồi Helen khỏi Trojans và bảo vệ danh dự của anh trai cô. Sự thật là cuộc chiến vì danh dự của Agamemnon bị hủy hoại bởi lòng tham không thể kiểm soát của anh ta khi anh ta cần phải chinh phục thành Troia để giành quyền kiểm soát Biển Aegean."
Năm Đêm Kinh Hoàng,507089,Emma Tammi,"Josh Hutcherson, Piper Rubio, Elizabeth Lail, Matthew Lillard, Mary Stuart Masterson","Phim Kinh Dị, Phim Gây Cấn",110,18.1153,2023,https://image.tmdb.org/t/p/w500/6wz4JGel2IRvfna6M8xKrudfXUx.jpg,https://image.tmdb.org/t/p/original/7NRGAtu8E4343NSKwhkgmVRDINw.jpg,7.374,"Nhân viên bảo vệ Mike bắt đầu làm việc tại Freddy Fazbear's Pizza. Trong đêm làm việc đầu tiên, anh nhận ra mình sẽ không dễ gì vượt qua được ca đêm ở đây. Chẳng mấy chốc, anh sẽ vén màn sự thật đã xảy ra tại Freddy's."
Barbie,346698,Greta Gerwig,"Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae","Phim Hài, Phim Phiêu Lưu",114,15.9768,2023,https://image.tmdb.org/t/p/w500/mqNkQhaXxsH8SLNmJnG5oGz4meR.jpg,https://image.tmdb.org/t/p/original/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,6.943,"Barbie sẽ được nhào nặn và chắp bút bởi nữ đạo diễn kiêm biên kịch từng nhận nhiều Đề cử Tượng vàng Oscar – Greta Grewig. Hai nhân vật chính Barbie và Ken sẽ được hóa thân bởi nữ diên viên Margot Robbie và nam thần Ryan Gosling, hứa hẹn sẽ tạo nên “chemistry” đáng yêu giữa hai nhân vật búp bê nổi tiếng thế giới."
Mê Cung Thần Nông,1417,Guillermo del Toro,"Ivana Baquero, Sergi López, Maribel Verdú, Ariadna Gil, Doug Jones","Phim Giả Tượng, Phim Chính Kịch, Phim Chiến Tranh",118,16.3625,2006,https://image.tmdb.org/t/p/w500/953ZprqPxXSfhHvjBVRiIv7fSP6.jpg,https://image.tmdb.org/t/p/original/6G6nqSW9S7EHA9HrYl0Z8uo2H7f.jpg,7.758,"Câu chuyện diễn ra ở Tây Ban Nha vào mùa hè năm 1944, năm năm sau Nội chiến Tây Ban Nha, trong thời kỳ đầu của Pháp. Câu chuyện kể đan xen thế giới thực này với một thế giới thần thoại tập trung vào một mê cung bị bỏ hoang, bị bỏ rơi và một sinh vật huyền bí, người mà nhân vật chính, Ofelia, tương tác. Cha dượng của Ofelia, Thuyền trưởng Falangist Vidal, săn lùng Ma giáo Tây Ban Nha, người chiến đấu chống lại chế độ Pháp giáo trong khu vực, trong khi bà mẹ mang thai của Ofelia, Carmen ngày càng ốm yếu. Ofelia gặp một số sinh vật kỳ lạ và ma thuật trở thành trung tâm trong câu chuyện của cô, dẫn dắt cô vượt qua những thử thách của khu vườn mê cung cũ."
Câu Chuyện Đồ Chơi,862,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn","Phim Gia Đình, Phim Hài, Phim Hoạt Hình, Phim Phiêu Lưu",81,19.7013,1995,https://image.tmdb.org/t/p/w500/2k5424igOcC1rjJoME8WNREEOgy.jpg,https://image.tmdb.org/t/p/original/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,7.97,"Thế giới đồ chơi của cậu bé Andy bị xáo trộn khi có sự xuất hiện của cảnh sát vũ trụ Buzz Lightyear. Cảm thấy mình bị “thất sủng”, anh chàng cao bồi gỗ Woody xô xát với Buzz và cả hai bị rơi vào một cuộc phiêu lưu đầy mạo hiểm. Câu chuyện nói về thế giới đồ chơi của cậu bé..."
엄마친구,387824,Myeong Seok Hwan,"Heo Ye-chang, Hee-jeong, Yeong Ah, Kim Woon, 전지학",Phim Chính Kịch,91,16.119,2015,https://image.tmdb.org/t/p/w500/uHTE5QiHfPQLfvqgfYsgISpaqD8.jpg,https://image.tmdb.org/t/p/original/4jnDdvXt9GAzePbUBMpGQ3gQtAg.jpg,7.0,
Melissa P.,13461,Luca Guadagnino,"María Valverde, Letizia Ciampa, Primo Reggiani, Fabrizia Sacchi, Geraldine Chaplin",Phim Chính Kịch,100,16.5993,2005,https://image.tmdb.org/t/p/w500/qFM4AjQNZwtkV0qWAHrVZFQRXYM.jpg,https://image.tmdb.org/t/p/original/c6hFzNJIAGT84E6SfuuqEZNJlqH.jpg,4.6,
Deadly Cuts,793511,Rachel Carey,"Angeline Ball, Ericka Roe, Shauna Higgins, Aidan McArdle, Victoria Smurfit",Phim Hài,90,16.9128,2021,https://image.tmdb.org/t/p/w500/8ywnFVEWYVcdwe7NaF6F4ZBCqCw.jpg,https://image.tmdb.org/t/p/original/xkWDtiWohSdgGjuLrI5duTQJMIj.jpg,4.4,
Ký Sinh Trùng,496243,봉준호,"송강호, 이선균, 조여정, Choi Woo-shik, 박소담","Phim Hài, Phim Gây Cấn, Phim Chính Kịch",132,17.0246,2019,https://image.tmdb.org/t/p/w500/zZydO1LhMhqDAMM86JUi241wT7X.jpg,https://image.tmdb.org/t/p/original/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,8.497,"Bộ phim xoay quanh hai gia đình hoàn toàn trái ngược: một bên vô cùng giàu có, còn một bên luôn sống trong cảnh nghèo túng. Họ tình cờ gặp gỡ và quen biết nhau sau một biến cố không ngờ."
Poor Things,792307,Γιώργος Λάνθιμος,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott","Phim Khoa Học Viễn Tưởng, Phim Lãng Mạn, Phim Hài",142,15.5646,2023,https://image.tmdb.org/t/p/w500/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,https://image.tmdb.org/t/p/original/zh6IdheEYinU4TPtorWsjx6qPQE.jpg,7.656,"Chuyện phim kể về một phụ nữ trẻ tên Bella, sống ở thế kỷ 19. Sau khi tự sát, cô được một nhà khoa học hồi sinh bằng cách đặt vào đầu cô bộ não của trẻ sơ sinh. Bella bỏ trốn và gặp gỡ Duncan Wedderburn một luật sư có lối sống phóng túng, trụy lạc. Trong cuộc hành trình phiêu lưu này, Bella đã có những phát hiện mới về bản thân mình, trong đó có những phát hiện đến từ trải nghiệm... tình dục của cô."
Kẻ Vô Danh,615457,Илья Найшуллер,"Bob Odenkirk, Алексей Серебряков, Connie Nielsen, Christopher Lloyd, Michael Ironside","Phim Hành Động, Phim Gây Cấn",91,17.5616,2021,https://image.tmdb.org/t/p/w500/mGY5CrLuEFyxtPotHHqKNRCWvda.jpg,https://image.tmdb.org/t/p/original/61MrK5U4w4MVL1vfwoG12zYPJ8B.jpg,7.9,"Đôi khi người đàn ông mà bạn không để ý lại là người nguy hiểm nhất. Hutch Mansell, một người cha và người chồng bị đánh giá thấp và bị coi thường, luôn coi thường sự phẫn nộ của cuộc đời và không bao giờ lùi bước. Một kẻ vô danh."
